AQ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,43280119.035704,109416702.3942,91085284.7880046,76037672.9963145,58160943.7579886,53099686.5950715,42622701.1516417,35847170.004014,29403675.1579123,28043694.8409854,19262136.012372,21562278.2506991,17613782.5986581,12143068.1794462,10438082.5007035,8886482.59368411,8044700.82539938,10619841.7047222,5730675.34913303,4011896.71661856,3954369.16064928,3544539.54652179,2491172.83070588,2983937.68153866,2183055.65516912,1162044.52169241,2139665.18511382,1270579.55412722,362645.214327457,621742.800960172,638134.16410131,237198.9417159,692965.800540913,87937.6377265219,124414.610483092,183269.61171872,247313.942644783,49129.8556432024,44654.0373892304,439465.399033196
2,40401535.9778562,101531131.272138,90197120.7018762,74022259.2478383,59823853.6680944,57482947.0110339,47395917.2444468,39081489.6900629,30310956.2558713,27975062.2570917,19482892.5188213,16882103.3153333,16881537.8494436,12017102.1822261,12287868.0011064,15072149.2803621,6726673.71401355,4800721.80304539,3716064.80107642,4554508.5528938,3319171.33510111,3273277.83255582,1979144.85601234,2041077.51579719,1739515.65058166,3068477.20634352,1857985.36514004,1404546.67047632,1590538.88733405,2534509.02548434,452415.243667368,295858.112482196,462733.475606835,736714.957772999,47959.2965153462,606062.44821349,38714.7805385324,106883.296926558,52164.0949049217,1301674.46804969
3,45302694.1914414,112785899.985698,93694538.1224911,67445916.5531546,62229922.3856184,52713354.4999552,46247911.6939885,38787971.7378648,31535093.9615179,27295142.48027,22967079.3767416,19457111.5318251,14019363.3278534,9640775.05629032,12608093.6890575,9129127.24804758,5235281.56294032,5508357.63587751,4046336.35925936,4692097.01590811,3720771.39412251,4203749.71751896,2264396.68854042,1833678.87823328,1797600.07254713,1791728.87792161,2133015.9024365,676503.269359694,517188.713300554,1463410.76240958,661397.373102118,326745.999165513,113035.847104107,161820.320975481,672448.548873012,75799.2078500394,866554.045249598,765483.355137827,324459.341387538,951534.497509812
4,49128340.1326133,104273546.118138,95795348.0431373,74578440.0239678,65253146.6765315,53456831.7500696,45824298.4858432,33365769.7371023,30867245.5909235,24561124.2870427,25383420.0825473,20273970.4994609,14467678.4357894,13094516.8823004,10809479.649298,9450174.81458967,8463868.1091409,6839846.04957516,4529039.252146,7007434.11116329,5199730.7671205,4219167.07581902,2928256.20342971,3315520.18134399,816296.480408279,2131024.00927153,3286828.27694363,486390.240201583,3655751.35515218,608369.865286925,920959.36780853,425812.629089126,507226.788661136,547290.667524943,264882.322485075,542993.010565819,834611.996428105,59241.3041626369,67180.1579349433,1028683.17268358
5,43552707.9735604,105300623.80126,89311383.1070935,79528515.9871226,63343553.567164,59649024.626196,47798002.3449103,44032820.8057803,29971686.0335699,21884365.4617875,22906024.2764892,20324414.9236929,17072210.0409724,15984191.9186977,8393948.67686937,8432034.45627935,6348646.51689993,6003489.88331438,4763812.21563366,4632616.69232936,6247415.26372384,4172241.37204368,2709465.4533413,3296904.01532126,2497853.42599967,2164400.66274773,543728.793024214,818001.501896612,554672.622308579,859100.56785288,1010466.81854548,275634.909150149,125425.889175499,74968.607750661,804125.515544754,201842.795056397,77454.7862269087,40763.3261705881,250679.658621583,1631822.51727474
6,48391394.1928804,108121379.8644,96736022.961155,86464147.8903595,64928833.0825682,55570511.4500762,46957773.1624169,37789789.335657,29318264.2911393,28266480.353995,25898462.946242,20266641.1070929,15264182.3383268,17229201.3572322,10380990.2281612,9020829.80551525,5876344.77927105,6713860.65215954,4120624.73665621,3816095.68207519,2073786.62084959,3766769.73184769,2934464.76059935,2004957.95637898,2008562.1477836,657096.08209876,1364858.25853055,470582.802351273,1429138.9083658,1468170.43362769,448408.501610282,876902.356294693,1454072.50975438,230638.765124728,697745.013736409,179640.223832023,344769.407398755,181530.349021815,2688.54642260736,991610.338012477
7,40285742.9975028,103758634.152591,96501965.2403841,74517803.2373144,62783255.233333,49366970.2157584,40304723.8599052,40228408.5928572,28121218.4315525,27630096.4996427,22235696.2178553,20803851.0480478,16652294.8208713,14682846.5744283,11896202.268357,10118754.0421355,6136240.5471295,7191626.91677265,4642415.40770253,3899110.39587413,3629544.98578589,2127143.54840588,3196301.31333981,2452247.10214035,2218141.47151394,1216701.04281843,1385286.54090477,992107.493503459,2733565.34734322,1402357.45458653,677993.682271256,394546.121176701,380507.76419241,243706.513886803,123713.748352065,638332.478068289,504904.607489288,85140.5699606674,1009.99727612457,1652888.17584166
8,42075881.2605156,103140699.113371,98730968.2190577,76736126.8934502,68725683.1534705,51747089.362425,43838352.8990867,35522180.4587354,29797405.6774289,27002855.4990679,20626091.2731743,17273498.7228178,14886755.4931844,15237578.9414561,11126375.7270753,10305752.7031713,8944496.54060716,9122945.75813941,4553368.63246208,4798652.48644668,3957613.36778937,3679774.10788926,4286925.53650267,2011670.48651389,1781278.12234668,967534.882824217,2002233.01673432,1389297.55631609,1112610.59798776,1584815.44925299,126913.383210796,214330.67207559,337990.369344098,191887.594633095,162487.674905912,380294.964183864,369531.553382872,225924.974277901,75679.4729294099,1254542.77817837
9,42702198.5316443,119068490.696874,98578295.321208,87918561.306621,60793271.6610837,54501144.0925774,44472099.9143368,36888992.4361326,35157800.3037288,27430739.7369511,21958364.0721674,18215496.3414454,15196852.8037292,12866483.5119639,9568215.82078424,9992938.1699528,7544957.28736328,7019541.19772396,4491897.83249979,5080512.5901241,3409290.0480187,4123496.81506718,3303102.26996614,3316197.21983672,2169214.72017305,1607220.03098724,1693836.86402273,1846161.04007495,735430.580259267,430155.009173207,180345.289602288,184127.881158654,366322.286907273,1094353.37094589,73453.9514255573,24001.5361550557,28301.8238354401,65569.7032301788,45402.7376262862,870474.448311271
10,44380975.3667882,116228362.731905,100488860.161982,78994893.6512863,64162580.27768,49705780.8063692,46460276.6011268,38208978.1535988,29835131.1821326,24248562.2642546,20739842.7563559,17893893.5972351,17627138.1738131,12564870.8727652,11399505.3921197,10876961.7322394,7502878.04473843,7568048.89208947,4505511.06756569,5573963.67215426,3082887.24513596,4001060.0851121,2313448.28175123,3176653.34063,2658331.67237741,1569771.12420629,1425121.1460981,1116711.6490131,897591.832161429,1021180.8035927,334629.9498422,367360.341422929,187060.334812871,670255.172037642,737070.939813839,262095.314599106,129515.977644791,77712.9582612453,1028345.35736988,1246931.52739382
11,50677598.4987412,103261635.605843,95762170.6934177,82711995.7443342,63035347.0424666,58075425.3761841,47863527.6383454,39160845.0641097,32995875.8416497,23884378.3790822,24575368.9811702,20725152.3276683,19067619.0854285,10283685.9996559,13275577.8259572,13892872.4586218,8497445.17719309,6071731.39565922,7944871.63167601,6101449.91213212,4020475.52219472,3362177.96660766,2407051.98219361,1763026.93548937,1829345.42083153,2336241.34620989,664680.133153563,1982826.21010922,1279091.30706994,455734.311721497,861872.922884881,501132.033928429,759282.913742143,764669.272671132,465931.991973715,513718.890513906,1003170.01379823,123472.223535118,758460.7557886,1997219.39010586
12,50705980.1369917,102874767.485978,103960971.8498,75328357.6759566,65902866.9804657,53431285.8412888,46460227.3581376,34441553.8754444,34166142.0752936,25322465.0571977,21981155.2590562,18308753.5020847,12802224.5807258,14955069.517064,9880540.92970908,7901164.91298289,5816284.20081062,7008205.64517385,3386187.4278573,6111477.63795533,3304864.84968286,3147620.73551071,3248744.15887952,2472603.37283956,2049867.77981032,1472694.45800633,2937140.45919732,1392506.51584834,305732.170017492,1138960.5961907,663335.054288859,275786.083954189,397984.923007266,580680.837771242,430595.798433182,86206.8990584278,395445.338893787,0,16989.7897183535,332191.751650141
13,47033171.5377591,116849790.715666,98380042.0899947,79893194.5751911,73387073.6388501,53201420.7612495,47183855.0983377,35191683.320089,26468191.5166821,26021917.6329102,23230915.5094043,16341460.930634,12627806.4536802,10743807.2154717,11215067.7779892,9757329.17540197,7786164.63576448,7164516.10219464,5077325.2194612,4680353.1241387,2486809.08870345,2409291.03845989,2128464.29912839,2153496.20292909,2126115.75143044,2542354.51358735,1310195.94376822,2060231.00538063,946578.858470705,1248880.03570103,796542.649646597,811360.996898454,207314.407716118,123359.894067627,154131.198267528,856310.574310434,296361.465180253,287697.846830547,6124.20170584361,1023979.39823378
14,44066652.8370603,110927616.519597,89757464.9169292,71982007.8899876,72298836.4786873,54527653.1656953,53899904.4075686,35605585.163338,32602064.06583,27133259.0182313,23226299.3823015,21172708.5372324,15531369.7446539,11483604.5911759,9742183.07529335,7038389.61479675,7933028.01298041,5717681.63335409,4591214.16166756,3285631.14556015,3851873.42272936,2774396.96130874,3149503.15591125,1916479.87071143,2182838.31183624,787985.02950332,1427500.04460424,629434.265730432,758471.418158302,206559.054467052,473340.956525865,232571.931861532,486440.981675151,507459.260026733,202229.20728864,559064.038671782,161580.676271595,351894.906001645,139267.980124147,1038518.55657073
15,57389940.5850522,107128995.738121,100907875.757374,88931962.5878759,70015607.3557673,64843056.1340896,47417014.9810626,38259809.2014911,30246847.0639911,24541330.2934602,18395585.3918644,19292976.6736644,17783632.8428349,11727174.603286,15306355.8725269,8361233.22828808,8577415.40286399,4473368.78573824,5753472.87899379,5202868.40416304,3765039.76979831,2452504.92964658,3489442.24594591,1892988.12565842,2846399.12002901,1674121.64021419,1871449.04290543,1112705.9348796,1797396.81085097,1331305.72024891,824240.983475383,767002.160459246,2004114.70058505,324517.832590919,389055.454675585,227804.685669871,147763.85664271,711212.880844755,764694.909138539,766145.912087623
16,45365937.9873042,107887474.542398,95766904.4099519,82654135.1100448,65609270.8746916,47306848.2822633,47543021.8196703,37033661.2995901,34602518.4643242,24058928.1599345,27555453.202241,18583388.9878387,16969028.796291,12559996.4988075,15583812.460306,12117973.535637,9562177.07485558,8136804.64342384,5059315.09047018,4420800.59870083,6020104.40114331,3998705.57144439,2137300.85733142,2808476.63020279,1793866.67759884,2567476.47164631,1107065.52437966,737211.500771703,913949.335507546,653512.02656139,422532.63631084,539667.351950024,684580.921859466,968517.549544179,292690.900005177,335048.338237261,46011.1406009245,73703.5693066576,204830.656486726,694231.403219906
17,44430044.8388303,110000827.466682,101191129.679657,85107569.392636,82280240.2664562,63569262.3780039,50712755.8398176,45056183.62997,30022417.1273695,33031402.9323747,19801639.5901383,17417892.1446792,17643076.8287605,12926712.2441984,10623159.7241432,10279204.5701659,7928137.31686446,7402342.99718873,4071613.95697221,5567574.48270425,4614869.37043425,2951474.69243361,2611467.62263038,4138639.77713476,1849638.28596805,1331547.19707386,1743272.11788855,1496358.63356631,492948.292853166,999178.711700761,1063949.77821984,849977.2242757,1268304.62695503,267338.487753409,383147.518234827,157366.847585638,78610.1821700367,482632.873000284,116463.363470195,2230389.79402792
