AQ,DQ,RealMean,Real25,Real50,Real75,Real95,Real99.5
1,1,9557.35759915187,0,0,5582.34674446097,26717.5532310341,380366.030309677
1,2,88211.7687308562,30630.7824054076,49772.8296430451,84359.6297083838,286641.905662144,1229013.25297964
1,3,252826.946188694,124101.736215978,178199.686663514,289471.152052355,673523.361518428,1699174.89543321
1,4,419495.125984988,235230.305120402,326696.094810574,494632.985968116,1005495.56074148,2150848.99057617
1,5,559911.527463358,327683.372046579,463105.988881224,681675.881226614,1229469.27307926,2589132.29676727
1,6,641771.629195649,391331.455534926,553035.254663776,784127.417897332,1361607.73825052,2530158.19754385
1,7,715943.923885699,422699.47124399,599893.889216735,885075.763178256,1523158.585613,2578587.66010708
1,8,758578.735191156,449071.105239888,645774.620907752,931503.888258178,1703489.30569252,2868764.99722335
1,9,792029.781532138,459970.518886998,679279.673686586,980539.931093145,1649854.08410492,3208506.69868054
1,10,804033.502768788,453859.941894015,678077.024503276,1003645.21042802,1820086.05339496,3393328.75738829
1,11,799302.276958542,456417.316147235,674043.388994426,1043954.1605956,1759677.16979639,2553768.59832
1,12,784860.84604861,437062.081521781,671287.734434906,1017133.85900417,1704496.57206127,3040330.91537545
1,13,788224.76817982,432089.540204339,659751.026901468,982244.129235112,1857537.27470275,3045591.97895312
1,14,737984.958751768,389501.035592722,612074.016427037,950508.47514368,1766313.03681643,2851181.97091736
1,15,753719.786572925,410351.83065485,621163.99293129,987723.378483817,1793100.96423733,3168446.66763003
1,16,721776.745992845,362244.288701605,612402.763166723,937885.183634374,1748923.92449743,2913770.86069175
1,17,681250.735464512,322073.656718536,552571.811229515,901321.431573115,1709749.31615084,3174046.50853879
1,18,643806.430244587,294083.45416758,519882.040116259,839778.286884513,1597112.65632333,3170039.47267165
1,19,611628.377475677,256374.016548225,491173.523201715,828670.251408037,1539316.23816657,2598255.11415862
1,20,594156.951589373,240005.829718445,449480.011430758,795665.090889998,1557675.7477791,2982510.45978287
1,21,532349.550423596,214888.2355148,412577.771743463,707322.666088665,1479197.51454729,2902765.49532006
1,22,503232.591920923,188700.929721754,369873.361580405,724521.967645153,1434258.10239085,2662986.76900428
1,23,484360.202470837,151161.17515492,355416.781486706,657594.178432792,1464798.57899311,3040803.50494258
1,24,444592.63184773,89545.2312171325,280657.039176196,626653.448497071,1397439.92777527,2619619.42566688
1,25,419185.152408431,78698.5359311999,271054.279681433,588960.461123116,1357700.17726928,2623060.96718877
1,26,371639.633328247,50534.5486750675,235203.747790783,502661.302026253,1213307.06126775,3040491.2409325
1,27,356605.69581041,36913.0325637084,219505.504223713,482908.662000808,1319383.29456292,2684441.15176814
1,28,352176.799468323,29850.1643535449,217549.648352673,477770.392814836,1257532.71225389,2717119.6325905
1,29,303310.381340735,29504.8698883554,202496.263332662,425345.861201606,1085997.29075972,2499283.126248
1,30,248682.883992193,18761.3956520278,86608.9376117178,325402.555261889,969853.933924213,2258131.64965233
1,31,249892.10126141,14083.0130503921,67400.8325231631,330621.848593318,1036475.69580083,2437174.21612789
1,32,222565.874075262,6757.69473610404,49357.2498194501,283235.841013152,956078.050303412,2397023.63722435
1,33,185493.031824222,0,38291.9313429769,260593.413551899,729853.042008929,2069294.01945957
1,34,189222.5138192,0,29847.0832787512,251936.439052332,945973.640361386,2144981.60421311
1,35,142106.888673223,0,21498.6997868695,188934.959388701,687689.462985083,2076833.03357752
1,36,154762.511162194,0,12723.9254366427,122644.676613066,886097.212725474,2075902.12391969
1,37,132397.019309445,0,4948.0414459345,80166.6820500026,782444.502116144,1947720.29265607
1,38,120232.016132814,0,0,74564.7220617917,664692.184477371,1899311.7657778
1,39,117970.76019706,0,0,49712.3943292636,792844.69994868,1883616.33921424
1,40,92489.3173073112,0,0,32557.3387092077,569489.421473307,1698337.59281213
2,1,10015.4827842222,0,0,5163.84897774706,26357.8543538512,504442.439400151
2,2,81260.3132323912,31784.5172643049,51280.8103133361,86263.3930011909,255575.801323426,642419.683999901
2,3,254924.043841036,130865.354060338,182937.713874753,290780.02895655,703706.32893644,1675707.45653261
2,4,426499.436461219,237799.601981982,340103.543100514,527524.753574348,991388.996560307,2026077.08390685
2,5,563981.466513756,339319.139424589,474530.776716999,676016.425842042,1226821.22179292,2352694.26939019
2,6,680783.291036705,399140.849044187,579256.465485696,838306.682514869,1463890.48714209,2916507.30667475
2,7,733716.659957425,447140.787405227,635053.868502593,914112.895030738,1542061.98396845,2715584.1844334
2,8,766556.962908649,465635.537296844,646946.748733278,971581.169330807,1644350.57602437,2655548.53473317
