AQ,DQ,Loss,Stage1,Train1,Val1,Test1,Stage2,Train2,Val2,Test2,Stage3,Train3,Val3,Test3,AQMean,AQStdev,DQMean,DQStdev,LossMean,LossStdev,AQNorm,DQNorm,LossNorm,Categorical,Set1,Set2,Set3
1,1,51169903.4872475,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.36193907675068,-1.36193907675068,0.319615346806499,0,Train,Train,Train
2,1,41694692.501918,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.25717453238524,-1.36193907675068,0.0760465942664811,1,Train,Train,Train
3,1,45429556.0100071,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.1524099880198,-1.36193907675068,0.172054593136478,2,Train,Train,Train
4,1,52200462.0138522,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-1.04764544365437,-1.36193907675068,0.346106773238399,3,Train,Train,Train
5,1,51681985.454693,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.942880899288931,-1.36193907675068,0.332778870679694,4,Train,Train,Train
6,1,47819819.1112171,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.838116354923494,-1.36193907675068,0.233498438841399,5,Train,Train,Train
7,1,49050076.9176237,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.733351810558057,-1.36193907675068,0.265123313440289,6,Train,Train,Train
8,1,55548111.8281578,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.62858726619262,-1.36193907675068,0.432161098622151,7,Train,Train,Train
9,1,45975536.0226922,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.523822721827184,-1.36193907675068,0.186089496507748,8,Train,Train,Train
10,1,48039255.9746451,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.419058177461747,-1.36193907675068,0.23913925920616,9,Train,Train,Train
11,1,58927962.6687652,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.31429363309631,-1.36193907675068,0.519043180118033,10,Train,Train,Train
12,1,50747205.9578403,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.209529088730873,-1.36193907675068,0.308749529665449,11,Train,Train,Train
13,1,50929071.2013857,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,-0.104764544365437,-1.36193907675068,0.313424538018226,12,Train,Train,Train
14,1,65844638.4535326,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0,-1.36193907675068,0.696842502500189,13,Train,Train,Train
15,1,52169951.0264976,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.104764544365437,-1.36193907675068,0.345322461085326,14,Train,Train,Train
16,1,53770734.8936575,1,1,0,0,1,1,0,0,1,1,0,0,14,9.54521404218424,14,9.54521404218424,38736359.3090251,38901586.868261,0.209529088730873,-1.36193907675068,0.386472038674048,15,Train,Train,Train
